# Copyright (C) 2021  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 21.1.0 Build 842 10/21/2021 SJ Lite Edition
# File: /home/lesteves/Téléchargements/DE10-Lite_v.2.1.0_SystemCD/Demonstrations/VGA_Pattern/DE10_LITE_VGA_Pattern.csv
# Generated on: Wed Jun  1 14:29:32 2022

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
DRAM_CS_N,Output,PIN_U20,5,B5_N0,PIN_U20,3.3-V LVTTL,,,,,
DRAM_DQ[15],Bidir,PIN_F22,6,B6_N0,PIN_F22,3.3-V LVTTL,,,,,
DRAM_DQ[14],Bidir,PIN_G19,6,B6_N0,PIN_G19,3.3-V LVTTL,,,,,
DRAM_DQ[13],Bidir,PIN_G20,6,B6_N0,PIN_G20,3.3-V LVTTL,,,,,
DRAM_DQ[12],Bidir,PIN_G22,6,B6_N0,PIN_G22,3.3-V LVTTL,,,,,
DRAM_DQ[11],Bidir,PIN_H22,6,B6_N0,PIN_H22,3.3-V LVTTL,,,,,
DRAM_DQ[10],Bidir,PIN_H21,6,B6_N0,PIN_H21,3.3-V LVTTL,,,,,
DRAM_DQ[9],Bidir,PIN_J22,6,B6_N0,PIN_J22,3.3-V LVTTL,,,,,
DRAM_DQ[8],Bidir,PIN_P21,5,B5_N0,PIN_P21,3.3-V LVTTL,,,,,
DRAM_DQ[7],Bidir,PIN_V21,5,B5_N0,PIN_V21,3.3-V LVTTL,,,,,
DRAM_DQ[6],Bidir,PIN_W20,5,B5_N0,PIN_W20,3.3-V LVTTL,,,,,
DRAM_DQ[5],Bidir,PIN_W22,5,B5_N0,PIN_W22,3.3-V LVTTL,,,,,
DRAM_DQ[4],Bidir,PIN_Y22,5,B5_N0,PIN_Y22,3.3-V LVTTL,,,,,
DRAM_DQ[3],Bidir,PIN_AA21,5,B5_N0,PIN_AA21,3.3-V LVTTL,,,,,
DRAM_DQ[2],Bidir,PIN_AA22,5,B5_N0,PIN_AA22,3.3-V LVTTL,,,,,
DRAM_DQ[1],Bidir,PIN_Y20,5,B5_N0,PIN_Y20,3.3-V LVTTL,,,,,
DRAM_DQ[0],Bidir,PIN_Y21,5,B5_N0,PIN_Y21,3.3-V LVTTL,,,,,
DRAM_LDQM,Output,PIN_V22,5,B5_N0,PIN_V22,3.3-V LVTTL,,,,,
DRAM_RAS_N,Output,PIN_U22,5,B5_N0,PIN_U22,3.3-V LVTTL,,,,,
DRAM_UDQM,Output,PIN_J21,6,B6_N0,PIN_J21,3.3-V LVTTL,,,,,
DRAM_WE_N,Output,PIN_V20,5,B5_N0,PIN_V20,3.3-V LVTTL,,,,,
GSENSOR_CS_N,Output,PIN_AB16,4,B4_N0,PIN_AB16,3.3-V LVTTL,,,,,
GSENSOR_INT[2],Input,PIN_Y13,4,B4_N0,PIN_Y13,3.3-V LVTTL,,,,,
GSENSOR_INT[1],Input,PIN_Y14,4,B4_N0,PIN_Y14,3.3-V LVTTL,,,,,
GSENSOR_SCLK,Output,PIN_AB15,4,B4_N0,PIN_AB15,3.3-V LVTTL,,,,,
GSENSOR_SDI,Bidir,PIN_V11,4,B4_N0,PIN_V11,3.3-V LVTTL,,,,,
GSENSOR_SDO,Bidir,PIN_V12,4,B4_N0,PIN_V12,3.3-V LVTTL,,,,,
HEX0[7],Output,PIN_D15,7,B7_N0,PIN_D15,3.3-V LVTTL,,,,,
HEX0[6],Output,PIN_C17,7,B7_N0,PIN_C17,3.3-V LVTTL,,,,,
HEX0[5],Output,PIN_D17,7,B7_N0,PIN_D17,3.3-V LVTTL,,,,,
HEX0[4],Output,PIN_E16,7,B7_N0,PIN_E16,3.3-V LVTTL,,,,,
HEX0[3],Output,PIN_C16,7,B7_N0,PIN_C16,3.3-V LVTTL,,,,,
HEX0[2],Output,PIN_C15,7,B7_N0,PIN_C15,3.3-V LVTTL,,,,,
HEX0[1],Output,PIN_E15,7,B7_N0,PIN_E15,3.3-V LVTTL,,,,,
HEX0[0],Output,PIN_C14,7,B7_N0,PIN_C14,3.3-V LVTTL,,,,,
HEX1[7],Output,PIN_A16,7,B7_N0,PIN_A16,3.3-V LVTTL,,,,,
HEX1[6],Output,PIN_B17,7,B7_N0,PIN_B17,3.3-V LVTTL,,,,,
HEX1[5],Output,PIN_A18,7,B7_N0,PIN_A18,3.3-V LVTTL,,,,,
HEX1[4],Output,PIN_A17,7,B7_N0,PIN_A17,3.3-V LVTTL,,,,,
HEX1[3],Output,PIN_B16,7,B7_N0,PIN_B16,3.3-V LVTTL,,,,,
HEX1[2],Output,PIN_E18,6,B6_N0,PIN_E18,3.3-V LVTTL,,,,,
HEX1[1],Output,PIN_D18,6,B6_N0,PIN_D18,3.3-V LVTTL,,,,,
HEX1[0],Output,PIN_C18,7,B7_N0,PIN_C18,3.3-V LVTTL,,,,,
HEX2[7],Output,PIN_A19,7,B7_N0,PIN_A19,3.3-V LVTTL,,,,,
HEX2[6],Output,PIN_B22,6,B6_N0,PIN_B22,3.3-V LVTTL,,,,,
HEX2[5],Output,PIN_C22,6,B6_N0,PIN_C22,3.3-V LVTTL,,,,,
HEX2[4],Output,PIN_B21,6,B6_N0,PIN_B21,3.3-V LVTTL,,,,,
HEX2[3],Output,PIN_A21,6,B6_N0,PIN_A21,3.3-V LVTTL,,,,,
HEX2[2],Output,PIN_B19,7,B7_N0,PIN_B19,3.3-V LVTTL,,,,,
HEX2[1],Output,PIN_A20,7,B7_N0,PIN_A20,3.3-V LVTTL,,,,,
HEX2[0],Output,PIN_B20,6,B6_N0,PIN_B20,3.3-V LVTTL,,,,,
HEX3[7],Output,PIN_D22,6,B6_N0,PIN_D22,3.3-V LVTTL,,,,,
HEX3[6],Output,PIN_C19,7,B7_N0,PIN_C19,3.3-V LVTTL,,,,,
HEX3[5],Output,PIN_E17,6,B6_N0,PIN_E17,3.3-V LVTTL,,,,,
HEX3[4],Output,PIN_E20,6,B6_N0,PIN_E20,3.3-V LVTTL,,,,,
HEX3[3],Output,PIN_F18,6,B6_N0,PIN_F18,3.3-V LVTTL,,,,,
HEX3[2],Output,PIN_E21,6,B6_N0,PIN_E21,3.3-V LVTTL,,,,,
HEX3[1],Output,PIN_E22,6,B6_N0,PIN_E22,3.3-V LVTTL,,,,,
HEX3[0],Output,PIN_F21,6,B6_N0,PIN_F21,3.3-V LVTTL,,,,,
HEX4[7],Output,PIN_C20,6,B6_N0,PIN_C20,3.3-V LVTTL,,,,,
HEX4[6],Output,PIN_H19,6,B6_N0,PIN_H19,3.3-V LVTTL,,,,,
HEX4[5],Output,PIN_J18,6,B6_N0,PIN_J18,3.3-V LVTTL,,,,,
HEX4[4],Output,PIN_F20,6,B6_N0,PIN_F20,3.3-V LVTTL,,,,,
HEX4[3],Output,PIN_F19,6,B6_N0,PIN_F19,3.3-V LVTTL,,,,,
HEX4[2],Output,PIN_D19,6,B6_N0,PIN_D19,3.3-V LVTTL,,,,,
HEX4[1],Output,PIN_F17,6,B6_N0,PIN_F17,3.3-V LVTTL,,,,,
HEX4[0],Output,PIN_E19,6,B6_N0,PIN_E19,3.3-V LVTTL,,,,,
HEX5[7],Output,PIN_L19,6,B6_N0,PIN_L19,3.3-V LVTTL,,,,,
HEX5[6],Output,PIN_N20,6,B6_N0,PIN_N20,3.3-V LVTTL,,,,,
HEX5[5],Output,PIN_N19,6,B6_N0,PIN_N19,3.3-V LVTTL,,,,,
HEX5[4],Output,PIN_M20,6,B6_N0,PIN_M20,3.3-V LVTTL,,,,,
HEX5[3],Output,PIN_N18,6,B6_N0,PIN_N18,3.3-V LVTTL,,,,,
HEX5[2],Output,PIN_L18,6,B6_N0,PIN_L18,3.3-V LVTTL,,,,,
HEX5[1],Output,PIN_K20,6,B6_N0,PIN_K20,3.3-V LVTTL,,,,,
HEX5[0],Output,PIN_J20,6,B6_N0,PIN_J20,3.3-V LVTTL,,,,,
KEY[1],Input,PIN_A7,7,B7_N0,PIN_A7,3.3-V LVTTL,,,,,
KEY[0],Input,PIN_B8,7,B7_N0,PIN_B8,3.3-V LVTTL,,,,,
LEDR[9],Output,PIN_B11,7,B7_N0,PIN_B11,3.3-V LVTTL,,,,,
LEDR[8],Output,PIN_A11,7,B7_N0,PIN_A11,3.3-V LVTTL,,,,,
LEDR[7],Output,PIN_D14,7,B7_N0,PIN_D14,3.3-V LVTTL,,,,,
LEDR[6],Output,PIN_E14,7,B7_N0,PIN_E14,3.3-V LVTTL,,,,,
LEDR[5],Output,PIN_C13,7,B7_N0,PIN_C13,3.3-V LVTTL,,,,,
LEDR[4],Output,PIN_D13,7,B7_N0,PIN_D13,3.3-V LVTTL,,,,,
LEDR[3],Output,PIN_B10,7,B7_N0,PIN_B10,3.3-V LVTTL,,,,,
LEDR[2],Output,PIN_A10,7,B7_N0,PIN_A10,3.3-V LVTTL,,,,,
LEDR[1],Output,PIN_A9,7,B7_N0,PIN_A9,3.3-V LVTTL,,,,,
LEDR[0],Output,PIN_A8,7,B7_N0,PIN_A8,3.3-V LVTTL,,,,,
MAX10_CLK1_50,Input,PIN_P11,3,B3_N0,PIN_P11,3.3-V LVTTL,,,,,
MAX10_CLK2_50,Input,PIN_N14,6,B6_N0,PIN_N14,3.3-V LVTTL,,,,,
SW[9],Input,PIN_F15,7,B7_N0,PIN_F15,3.3-V LVTTL,,,,,
SW[8],Input,PIN_B14,7,B7_N0,PIN_B14,3.3-V LVTTL,,,,,
SW[7],Input,PIN_A14,7,B7_N0,PIN_A14,3.3-V LVTTL,,,,,
SW[6],Input,PIN_A13,7,B7_N0,PIN_A13,3.3-V LVTTL,,,,,
SW[5],Input,PIN_B12,7,B7_N0,PIN_B12,3.3-V LVTTL,,,,,
SW[4],Input,PIN_A12,7,B7_N0,PIN_A12,3.3-V LVTTL,,,,,
SW[3],Input,PIN_C12,7,B7_N0,PIN_C12,3.3-V LVTTL,,,,,
SW[2],Input,PIN_D12,7,B7_N0,PIN_D12,3.3-V LVTTL,,,,,
SW[1],Input,PIN_C11,7,B7_N0,PIN_C11,3.3-V LVTTL,,,,,
SW[0],Input,PIN_C10,7,B7_N0,PIN_C10,3.3-V LVTTL,,,,,
VGA_B[3],Output,PIN_N2,2,B2_N0,PIN_N2,3.3-V LVTTL,,,,,
VGA_B[2],Output,PIN_P4,2,B2_N0,PIN_P4,3.3-V LVTTL,,,,,
VGA_B[1],Output,PIN_T1,2,B2_N0,PIN_T1,3.3-V LVTTL,,,,,
VGA_B[0],Output,PIN_P1,2,B2_N0,PIN_P1,3.3-V LVTTL,,,,,
VGA_G[3],Output,PIN_R1,2,B2_N0,PIN_R1,3.3-V LVTTL,,,,,
VGA_G[2],Output,PIN_R2,2,B2_N0,PIN_R2,3.3-V LVTTL,,,,,
VGA_G[1],Output,PIN_T2,2,B2_N0,PIN_T2,3.3-V LVTTL,,,,,
VGA_G[0],Output,PIN_W1,2,B2_N0,PIN_W1,3.3-V LVTTL,,,,,
VGA_HS,Output,PIN_N3,2,B2_N0,PIN_N3,3.3-V LVTTL,,,,,
VGA_R[3],Output,PIN_Y1,3,B3_N0,PIN_Y1,3.3-V LVTTL,,,,,
VGA_R[2],Output,PIN_Y2,3,B3_N0,PIN_Y2,3.3-V LVTTL,,,,,
VGA_R[1],Output,PIN_V1,2,B2_N0,PIN_V1,3.3-V LVTTL,,,,,
VGA_R[0],Output,PIN_AA1,3,B3_N0,PIN_AA1,3.3-V LVTTL,,,,,
VGA_VS,Output,PIN_N1,2,B2_N0,PIN_N1,3.3-V LVTTL,,,,,
